Bezeichnung;Schneidezaehne_oben;Schneidezaehne_unten;Eckzaehne_oben;Eckzaehne_unten;vordere_Backenzaehne_oben;vordere_Backenzaehne_unten;Backenzaehne_oben;Backenzaehne_unten
Beutelratte;5;4;1;1;3;3;4;4
Haarschwanzmaulwurf;3;3;1;1;4;4;3;3
Maulwurf;3;2;1;0;3;3;3;3
Sternmull;3;3;1;1;4;4;3;3
Silberhaarfledermaus;2;3;1;1;2;3;3;3
Zwergfledermaus;2;3;1;1;2;2;3;3
Gürteltier;0;0;0;0;0;0;8;8
Pika;2;1;0;0;2;2;3;3
Schneeschuhhase;2;1;0;0;3;2;3;3
Biber;1;1;0;0;2;1;3;3
Murmeltier;1;1;0;0;2;1;3;3
Waldmurmeltier;1;1;0;0;2;1;3;3
Präriehund;1;1;0;0;2;1;3;3
Ziesel;1;1;0;0;2;1;3;3
Backenhörnchen;1;1;0;0;2;1;3;3
Taschenratten;1;1;0;0;1;1;3;3
Kängururatte;1;1;0;0;1;1;3;3
Feldmaus;1;1;0;0;0;0;3;3
Bisamratte;1;1;0;0;0;0;3;3
Hausmaus;1;1;0;0;0;0;3;3
Stachelschwein;1;1;0;0;1;1;3;3
Meerschweinchen;1;1;0;0;1;1;3;3
Kojote;1;3;1;1;4;4;3;3
Wolf;3;3;1;1;4;4;2;3
Fuchs;3;3;1;1;4;4;2;3
Bär;3;3;1;1;4;4;2;3
Zibetkatze;3;3;1;1;4;4;2;2
Waschbär;3;3;1;1;4;4;3;2
Marder;3;3;1;1;4;4;1;2
Wiesel;3;3;1;1;3;3;1;2
Nerz;3;3;1;1;3;3;1;2
Frettchen;3;3;1;1;3;3;1;2
Vielfraß;3;3;1;1;4;4;1;2
Dachs;3;3;1;1;3;3;1;2
Stinktier;3;3;1;1;3;3;1;2
Fischotter;3;3;1;1;4;3;1;2
Seeotter;3;2;1;1;3;3;1;2
Jaguar;3;3;1;1;3;2;1;1
Ozelot;3;3;1;1;3;2;1;1
Puma;3;3;1;1;3;2;1;1
Luchs;3;3;1;1;3;2;1;1
Seebär;3;2;1;1;4;4;1;1
Seelöwe;3;2;1;1;4;4;1;1
Walross;1;0;1;1;3;3;0;0
Kegelrobbe;3;2;1;1;3;3;2;2
Seeelefant;2;1;1;1;4;4;1;1
Pekari;2;3;1;1;3;3;3;3
Elch;0;4;1;0;3;3;3;3
Hirsch;0;4;0;0;3;3;3;3
Dickhornschaf;0;4;0;0;3;3;3;3
Moschusochse;0;4;0;0;3;3;3;3
Bergziege;0;4;0;0;3;3;3;3
Bison;0;4;0;0;3;3;3;3
Antilope;0;4;0;0;3;3;3;3
Rentier;0;4;1;0;3;3;3;3
